Severity,Start_Time,End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Weather_Hour,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday
2,1087,1191,1.361,75.0,46.0,29.65,10.0,6.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,104.41666666666667,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,4,13,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,762,891,0.056,60.0,75.0,30.06,8.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,129.0,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,12,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,1316,1431,0.116,-14.0,61.0,28.63,10.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,2,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,1100,1193,0.0,86.0,3.0,27.15,10.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.4,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,4,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,1282,1327,0.0,64.0,38.0,28.98,10.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,4,23,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,496,586,0.0,57.0,81.0,29.56,10.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83333333333333,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,10,27,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,821,236,0.143,73.0,50.0,30.14,10.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,854.5666666666667,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,12,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,442,542,0.698,46.0,79.0,30.26,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,11,20,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1314,1404,0.0,71.0,68.0,29.09,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.56666666666666,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2019,7,23,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1108,1138,0.0,70.0,94.0,29.27,10.0,5.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,29.85,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2022,6,16,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
