End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday,Severity
1023,0.0,88.0,35.0,29.52,10.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,1,60.0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
583,3.841,49.0,56.0,29.47,10.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,80.0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,3,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1430,0.0,55.0,93.0,29.95,4.0,13.0,0.02,0,0,0,0,0,0,0,0,0,0,0,31.05,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,12,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
679,1.513,57.0,62.0,29.01,10.0,3.0,0.0,0,0,0,0,1,0,0,0,0,0,0,125.83333333333331,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2022,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
1285,0.081,42.0,85.0,29.69,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,105.0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,12,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
787,0.012,50.0,100.0,28.3,2.0,8.0,0.22,0,0,0,0,0,0,0,0,0,0,1,126.45,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1341,0.0,73.0,93.0,29.83,10.0,17.3,0.05,0,0,1,0,0,0,0,0,0,0,1,44.18333333333333,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2018,9,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1360,2.695,63.0,77.0,30.01,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,19.0,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2022,8,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1410,0.115,61.0,72.0,29.66,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,986.8333333333334,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2021,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
548,0.0,59.0,94.0,29.27,8.0,7.0,0.0,0,0,1,0,0,0,1,0,0,0,1,61.016666666666666,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2021,12,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
