Severity,Start_Time,End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Weather_Hour,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday
2,6,104,0.07,69.0,22.0,27.24,10.0,8.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,97.65,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,365,400,7.252000000000002,26.0,78.0,24.12,1.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2021,12,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,892,1032,0.127,66.0,50.0,29.09,9.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.43333333333334,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,12,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,486,516,0.0,59.0,64.0,29.91,10.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.866666666666667,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,1,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,713,742,0.0,87.0,61.0,29.93,10.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.25,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2021,7,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1290,1365,0.172,53.0,93.0,28.7,3.0,8.0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2022,4,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,458,767,0.062,61.0,90.0,29.83,10.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,309.95,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,9,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,949,979,0.0,82.0,12.0,24.19,10.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.866666666666667,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,5,22,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1322,1351,0.642,34.0,75.0,29.47,10.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,1,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,828,956,0.017,54.0,25.0,28.76,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.88333333333333,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,2,27,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,528,618,0.2599999904632568,81.0,89.0,30.03,10.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,89.91666666666667,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,8,27,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,867,897,0.0,70.0,53.0,29.81,10.0,8.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,29.516666666666666,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,5,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,992,1052,0.0,46.0,89.0,29.61,7.0,16.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,59.833333333333336,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2019,3,21,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
