End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday,Severity
380,0.0,70.0,87.0,29.19,10.0,5.0,0.0,0,0,1,0,0,0,0,0,0,0,1,127.53333333333332,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2022,8,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
957,0.0,64.0,17.0,25.3,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,45.0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
552,0.0,63.0,72.0,29.86,10.0,7.0,0.0,0,0,1,0,0,0,0,0,0,0,1,15.0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
308,0.0,59.0,48.0,28.31,10.0,10.0,0.0,0,0,0,0,1,0,0,0,0,0,0,30.0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1266,0.0,67.0,54.0,29.9,9.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,44.86666666666667,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2022,5,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
523,0.0,77.0,94.0,29.89,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,28.416666666666668,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2022,8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
465,0.0,69.0,81.0,29.35,10.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,60.983333333333334,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,8,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
639,0.0,76.0,58.0,29.4,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,50.06666666666667,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2022,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
719,0.0,97.0,14.0,28.51,10.0,5.0,0.0,0,0,1,0,0,0,0,0,0,0,1,64.96666666666667,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
541,0.3499999940395355,71.0,96.0,29.54,2.0,3.0,0.08,0,0,0,0,0,0,0,0,0,0,0,29.483333333333334,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2022,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1036,0.0,69.0,39.0,29.93,10.0,9.0,0.0,0,0,0,0,1,0,0,0,0,0,0,15.0,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,3,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
406,0.0,63.0,82.0,24.61,10.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,1,29.6,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
568,0.0,59.0,90.0,30.1,5.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,1,45.96666666666667,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,5,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
721,4.271,88.0,62.0,30.03,10.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15.0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
564,0.0,83.0,54.0,30.02,10.0,10.0,0.0,0,0,1,0,0,0,0,0,0,0,1,44.93333333333333,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
597,0.0,82.0,94.0,30.1,10.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,94.43333333333334,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2022,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
