Severity,Start_Time,End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Weather_Hour,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday
2,242,472,0.0,39.0,60.0,29.28,10.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.33333333333334,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,12,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1131,99,0.012,80.0,71.0,29.79,10.0,9.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,408.0,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2021,5,20,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,825,909,1.842,39.0,70.0,29.2,10.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.61666666666666,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2023,1,18,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,932,1058,0.155,81.0,34.0,29.51,10.0,3.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,125.63333333333334,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,5,20,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1036,1113,0.118,71.0,63.0,30.0,10.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.78333333333333,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2021,2,16,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,267,662,6.374,21.0,86.0,29.96,10.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.5,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,1,22,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,850,973,1.452,59.0,31.0,29.68,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.98333333333333,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2020,12,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,1038,1062,0.644,90.0,34.0,29.07,10.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.883333333333333,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,660,752,1.374,23.0,50.0,28.62,10.0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.16666666666667,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,11,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,217,295,0.075,78.0,81.0,29.96,10.0,12.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,78.2,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2020,10,21,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,491,551,0.0,45.0,87.0,29.36,10.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,59.85,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2018,10,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
